Day,Polymer,Time,Batch,N,Al27,As75,Ba138,C13,Ca44,Co59,Cr50,Cu63,Fe57,Ga69,K39,Mg25,Mn55,Na23,Nb93,Ni60,Pb208,Pd106,Sb121,Si29,Sn118,Sr88,Ti47
230607,PVC,Before,03,1,1924285.41369858,287637.724634121,8319391.40214719,201282.523155648,339708.862169742,178501.340739211,599218.541533848,1388024.67387136,43906.613368369,807091.628956273,1689886.47771015,139926.947018796,4802439.70837473,3288621.78838657,1102310.8852253,30159.8410820165,5460519.30335331,268034.862817374,896899.499020786,40484.925360174,477924.738201726,1908990.84894462,532831.37068337
230607,PVC,Before,03,2,1692041.93997173,257591.681119609,7666115.33688292,194230.253047274,329203.973427237,171046.0390616,534328.840155411,1260846.10992868,40245.5357409496,771179.58886074,1592956.24217314,138282.234336279,4482365.38136801,3109126.11158349,975875.303001912,27963.4050749668,5193971.55301677,252372.207009277,841956.820737923,38563.4557442403,413169.32387625,1758182.53735138,479417.748832822
230607,PVC,Before,03,3,2106606.86681312,332680.947457433,9315423.47421804,218379.626995803,374306.296462165,217304.518025956,679021.194850241,1718209.69534119,53297.4250827277,1004715.18833519,1962258.00247819,157196.366757319,5816527.80924208,4192407.19408658,1344197.33552674,35113.8852224964,6222697.58175842,322292.995068056,1062807.78166692,47483.685670678,545343.340380192,2133568.57997904,596653.159280888
230613,Glass,Before,01,1,45623326.1086178,50984.262393882,758243.31381198,16892.2951753396,23430155.5878198,327461.155619328,40663.5363935804,198652.36009931,59531.532596514,355645.445321174,829834.990546584,36691.8324427954,541680.985909844,791444470.174568,569492.028759663,78059.864046317,489365.040784977,7152.30679792378,289140.008666381,33230564.6361076,237606.19981858,1483786.25041119,33552.7378559319
230613,Glass,Before,01,2,41101176.1692689,45331.1385865222,695709.683539367,13845.6441168598,21486352.1667323,313056.592255287,35450.7522298253,174087.596387907,52264.2553409633,326654.687690316,721746.387707734,31705.8226113732,488513.062771773,732217381.708712,516585.283064461,68907.1264973723,439091.355574129,6310.23999059407,264211.07739878,30715273.7633667,221225.128360628,1313546.99696765,30226.385947848
230613,Glass,Before,01,3,40322704.6003951,44183.9242570878,670614.659054044,15322.063349793,20975826.7955495,301529.827861272,34593.0520415897,171458.295660345,50071.3281582291,323896.163267013,734016.474183655,31375.5877887166,482638.0559366,728051082.165635,492128.21270628,69338.5859356168,432433.894312092,6056.70965721396,261721.111728922,30098815.7360752,210150.643248205,1289112.43816841,29386.1854273288
230613,PE,After,01,1,2423013.15763384,124496.915584772,10838308.2604743,473823.461352506,325579.758672202,377023.857345675,680766.471231692,566421.847284125,27225.318084209,1082444.15944008,907319.493480483,94853.9138533372,2276822.66168755,697546.72726116,1306725.16927628,69892.8650002013,2104233.45374164,940326.841523516,2114223.36563898,72458.7585536756,444224.968852989,4042776.60667276,658390.910418562
230613,PE,After,01,2,2653206.88927017,115308.120966654,11250307.8670417,446002.230688232,370555.225253311,419010.032297334,709002.732997155,552250.535368531,27535.4069495399,1210295.03543102,994745.542736268,115055.716342386,2518231.85772665,561611.840115502,1402223.78438489,83292.6378794449,1848329.88839,1071150.70960741,2423885.60641538,73074.1271021801,451874.855322799,4296625.12975522,744123.27646245
230613,PE,After,01,3,2379359.98088244,106986.127294206,10841109.380532,414148.27464557,320827.626363965,386920.307560873,627214.450871596,512074.739279923,24970.4447765522,1161533.50390217,1049458.72321967,91254.9247759471,2533037.23248954,511431.693506602,1189953.65501539,71260.0426786589,1653493.13831993,1001151.89348502,2168788.58016706,71517.2943537469,458068.483137777,3940226.72088702,707461.392170593
230613,PE,Before,01,1,1509019.20477034,92777.4060171388,7857313.09334322,517513.191571128,261918.923652742,311916.371242305,536290.202876113,376765.348458105,16787.6144308581,744535.294211544,634690.644695982,74770.8179178123,1604487.22643786,473847.574951544,1089749.92834925,60199.2700646913,1236479.46662044,118885.203469304,1543531.71879245,52976.4784331975,283470.045931132,2728637.30612079,624426.749461884
230613,PE,Before,01,2,2152460.14494213,100116.049296802,9404355.81972669,516696.980829319,319162.55841851,426974.95728262,673428.690039393,465092.200476377,20212.6779352311,893229.254307524,1070987.71676671,102786.588665729,2352735.32236538,594887.608423618,1437753.72087548,74369.4730511805,1375777.37024631,140338.417835792,1955256.16269988,68692.6311571295,337278.083078894,3365857.12346301,738691.409967086
230613,PE,Before,01,3,2105855.95783897,120994.636693147,9392948.11293895,531178.428083987,386760.456987018,440998.767719899,772432.135689382,450550.193725334,22216.8099259599,995200.976066854,860247.177870951,108869.213099833,2391306.02316508,715100.10378118,1427661.83339179,84350.5523634025,1448315.12464875,148917.784962755,2068002.05809673,78557.0817343424,428376.539447625,3680697.13434816,770847.535837026
230613,PE,Before,01,4,2057541.4885518,155235.863065472,10823263.5030454,510074.061567845,414811.495567519,440728.153797291,769063.569666702,543624.370903932,26101.315846159,1103903.90907037,1087632.23388928,125977.01329112,2711474.17062224,1136566.09145832,1615206.89909156,88709.5663222691,1789198.46382028,174174.705192295,2376072.45147853,86558.6377285772,492452.544013984,4156685.07030021,922548.13108362
230613,PE,Before,01,5,4721485.20154066,150426.669569879,12451607.3565879,535913.204487736,511099.468198822,906895.29202234,892782.127304271,1236013.93222423,28609.0024411222,1354103.61870054,1102777.05319256,152117.838295547,3482069.22962157,891719.760724344,1762514.49681415,110787.694888397,1952254.50676457,193338.78642656,3168672.28154865,96806.8639952597,494906.185413615,4587801.75663616,1074968.6565074
230613,PE,Before,01,6,2687998.47265048,122322.183879908,10164875.1956751,512975.907188355,406022.296926995,493833.77700672,670125.132955032,589278.168225699,23026.0704105873,1068899.58519639,1092865.14450165,108105.263109166,2636085.52141566,637796.786694289,1412367.9076166,99377.2528821513,1730245.10220534,165841.120978362,2360293.44610395,78857.9185406346,377829.204290078,3864217.89609381,890328.164971127
230613,PE,Before,02,1,3353563.18530805,134740.284928815,11582080.4791006,523158.141341974,411715.406687896,555236.842218777,830568.181230837,675585.009539822,38042.0002353257,1377808.43216247,1013680.72481953,115915.233033262,2546104.6106084,497006.653893603,1705032.69961612,95316.3907668625,1851316.00575197,1923675.88654672,2460478.63105451,83008.3358477124,507766.685149376,4417489.33421137,908560.398783114
230613,PE,Before,02,2,3247480.81147435,115359.498438939,9309117.35367221,478179.26059664,278314.612080102,440225.117683747,732710.282267535,553641.453737269,35886.4712342079,1193759.20043336,675541.733539136,91959.0497795624,1926515.35519134,288211.269276275,1517118.30691972,71029.743348444,1305701.14945479,2097585.75230011,2031431.59699272,76417.2916870449,441092.557526304,3250487.43230995,747788.011267776
230613,PE,Before,02,3,3099790.47774024,117321.508882358,9829766.51898262,444321.314040064,264868.82075966,421642.810400776,718995.230510896,576477.563854587,34118.1460307992,1200215.28560122,619380.556028111,91562.0315986574,2055911.09854245,325518.111169777,1346206.51871483,66378.1558502041,1292995.04959375,2100904.94662035,2067337.65050366,61967.1644523468,440413.232234064,3393586.78971689,728725.820458548
230613,PE,Before,03,1,3311269.98486612,157106.858227356,13798241.2264344,611122.232223342,518116.104944761,639218.853150478,946959.593768734,767173.733009178,36380.9839855219,1602061.71868218,1142600.62383275,151407.754080684,3273216.08939156,620756.41436347,1936942.50231178,105700.518188809,2191932.67195666,1534642.27709332,2680262.68592483,94954.3795015726,567356.220615882,5404246.41886455,1019121.30585973
230613,PE,Before,03,2,3067800.56512569,130233.542161989,12898921.3913619,545790.553987404,448760.683853783,528955.186026364,973320.350341951,640456.926663222,30902.6963170719,1442757.19458433,1306121.87859113,127668.043249337,2745582.71666166,633234.748712602,1526024.10971846,93018.2714321056,1905720.54900192,1143807.51106385,2351395.65758002,99460.8656194669,493609.143874675,4780062.19961547,937546.242083877
230613,PE,Before,03,3,2826488.13114092,121482.755803345,12139068.9496822,519895.339396172,390772.130278057,484888.039763555,859110.147719134,584404.116499654,28107.0061361508,1287965.01428729,1206739.45437675,113174.212192305,2674440.30252649,558290.886271012,1383914.46283094,88886.0594266044,1653131.70491184,1063383.49594597,2240069.57441513,73607.2202399449,470903.573731128,4658709.11942044,911286.219969037
230613,PS,After,01,1,9570624.08249062,198541.023086349,16884700.175488,430353.216672342,1660743.02759007,811338.076226487,1451722.24145646,3099846.0228748,359986.025437073,3373349.73196667,4507179.56044293,591643.397214569,19919294.738148,2783103.87383081,6872728.03595536,572155.53119346,4549375.06963435,575552.51587217,7110199.86384357,85819.448941495,1791044.75280201,8650925.25998669,1439490.10797536
230613,PS,After,01,2,6850614.22469844,119610.541430457,9546096.02395901,415550.479642822,843015.176982663,342410.280511446,796080.942326383,1478858.45896026,227217.076390493,2232245.15426279,2513334.80498964,312271.983937999,9296331.29404707,1415032.9926687,3987175.03335609,261847.94046822,4037458.23358483,460300.677035518,4495116.38109381,70032.9413758258,964802.769074547,4595991.36995498,763166.558985182
230613,PS,After,01,3,15893214.2710751,116003.595500231,4677607.26674942,413859.622111253,921353.34885225,363662.504435405,721311.638818393,1574012.55225956,259837.597598873,3245622.57995117,2545171.36174054,335215.753734726,10301684.8057335,1818041.02905588,3716094.3315719,316141.217633763,2252875.71169135,435971.041382238,5077115.81719648,64105.8033254276,914016.708051041,5337011.1224074,668006.702868071
