Polymer,Source,Day2,Batch,Color,N,Na23,Mg25,Al27,Si29,K39,Ca44,Ti47,Mn55,Fe57,Ni60,Cu63,As75,Sr88,Nb93,Sn118,Sb121,Ba138,Pb208
Can,02,1,A,Black,3,1.9579929173720177e-05,0.10993770950104745,0.002658691718370603,0.0019385563608678698,0.1710720502385146,0.024116356799922297,0.04246155222113936,0.06253668188950792,0.07942240145330003,0.0029752785224625394,0.003080910911021738,0.02840087925315015,0.008412062339695119,0.00012579171175654564,0.0073809653967721565,0.016676982802757104,0.03804670538811355,0.0036496573428711388
Can,02,1,A,Black,4,1.5710153907208623e-05,0.09066784508057378,0.001956499501479969,0.0008449564681173525,0.13516577520813888,0.018911274412783563,0.03770392394554815,0.02117106257869293,0.05486907803266204,0.002431641001923737,0.002004300862167665,0.02504756577417209,0.006475795837134569,0.00012129433162526677,0.0063137408238499075,0.012092830765931017,0.02250785976344032,0.002277104327142069
Can,02,2,A,Black,1,3.089819256112695e-05,0.0882257002027633,0.0018633134997756559,0.000873733869951449,0.14948341699327972,0.014959538823909,0.07854864138018118,0.024640929676292812,0.05261015144681444,0.00661764023613695,0.008066589556410205,0.014746501320157044,0.00812574440047583,0.00011994958114591336,0.010840080840323004,0.3309067059203096,0.044176668481446836,0.00682300265784637
Can,02,2,A,Black,2,1.9552356058479445e-05,0.08998284659411557,0.0019849451457430818,0.0008136504420624925,0.12818461609187784,0.018341188903954742,0.02401643369474182,0.02543753643046347,0.05826766631517318,0.0019050379917278024,0.0025300443819636087,0.008165432202121483,0.0059563642728926326,2.8906847275066937e-05,0.006012227293740711,0.045141105643628804,0.020433569829968187,0.0019793282457467015
Can,02,2,A,Black,3,4.168597870080308e-05,0.08893228098401712,0.002744092850327094,0.0008876155987217086,0.1370672192829458,0.016169239748354297,0.02920107363636378,0.026397166344373533,0.05875373235276987,0.0020056850600610665,0.0020670046296895257,0.005598795683765139,0.005302992032086171,8.4517266688548e-05,0.00900515687809513,0.024131194313935598,0.018614332559099982,0.0027311497751960657
Can,02,2,A,Black,4,4.2017360697771104e-05,0.10046448469872042,0.0023975172105874017,0.0008271758227228286,0.11514268440548833,0.015865037804222312,0.02233783877269731,0.02409255170606282,0.053232896251581584,0.0017251018422056415,0.0020535232626872433,0.006294129293939009,0.0052761644617292675,4.990526397642004e-05,0.005946906804959167,0.017287013709664394,0.01880459807734306,0.0015474763742452024
Can,03,1,A,Yellow,1,6.6722872958360925e-06,0.02103357603121673,0.000522259889676239,0.0005985009910987322,0.015960540876422777,0.0016874152871887078,5.625067171096223,0.002461246036122629,0.006320147507709045,0.001710859975245569,0.000643164532472552,0.05965470850801704,0.0012105970229584096,0.012510745478632802,0.0031335750184913317,0.02798721268751872,0.012528996124103204,0.0009324694014258933
Can,03,1,A,Yellow,2,8.5577887027182e-06,0.017699700182047293,0.0004291171856672755,0.0005265399295482422,0.018369087990299522,0.0016132275994870985,5.248781322469499,0.003654904423073566,0.0047264249319906625,0.0011608797129507684,0.0009906681006371452,0.055601690583873806,0.0012070213751959938,0.012400695858927894,0.002479533762468147,0.02720225575749764,0.010230140800090895,0.000994699799539446
Can,03,1,A,Yellow,3,3.2661150866722293e-06,0.013636421481595077,0.0002751762614069528,0.00043758633167694574,0.014931363409673945,0.001174426949654042,3.4670556262709034,0.002082350489577751,0.005584005425069615,0.0014458364393474224,0.0011658898235976931,0.0531976174642903,0.0007258862530905455,0.007441712278650849,0.002255346467856019,0.026659941548662015,0.006653478406428333,0.0006809266236157
Can,03,1,A,Yellow,4,0.0004171214264535196,0.18456353260711428,0.001299838026387175,0.000541594391162112,0.08221644011860875,0.0014973107319441064,0.014360761243048635,0.0027465356932584754,0.06416019147776521,0.0020770094803925533,0.1707246293251121,0.11858041622492674,0.0043217785552370274,0.0003731333297031048,0.003235040501671291,0.1815798541758047,0.016530285861177264,0.002982038612308762
Can,03,2,A,Yellow,1,2.9483247486492077e-05,0.026952644613055465,0.0005892212533678158,0.000621012524738439,0.07758555126035502,0.0026855963392788205,6.937617760590284,0.0034650707382781923,0.00534960408622605,0.003336725050516808,0.0022645468734461076,0.01623024358816615,0.0014693348104991804,0.013637140142708873,0.004264503005980702,0.02360163692274389,0.01423018824736829,0.0016612167505107652
Can,03,2,A,Yellow,2,2.3082331811912412e-05,0.026830984231510147,0.0005612095930563878,0.0006468444669229621,0.04411141428912216,0.0020141850360590593,7.053944434800982,0.0035676289920777275,0.006358844181573374,0.0034616045585310453,0.001357864292176394,0.012818171430349592,0.0013447764590799837,0.013958709045724719,0.004208032334007236,0.02264549451784538,0.014418578755259098,0.0014653903953533737
Can,03,2,A,Yellow,3,2.2081320718117497e-05,0.030470828098919184,0.0005761830225456903,0.0006401453133898274,0.03937115000561721,0.0023627510045225227,7.410393619888939,0.0034673358628420506,0.008063613583182496,0.003218496899843327,0.001409416004601347,0.011586864193636302,0.0015550744353246206,0.01399150412127649,0.004406575003324329,0.02504919609323403,0.016706265308745888,0.0015270180482381418
Can,03,2,A,Yellow,4,1.5277977108830258e-05,0.024382839417540388,0.0005635083978829531,0.0006148335821267043,0.02297809420929568,0.00234876222947452,6.277394113174865,0.003854573522133351,0.006367806067896093,0.00317080987080231,0.0009166596189869123,0.010992422739773477,0.001259476194039178,0.012438630011796287,0.0033813030350395854,0.022616448846824407,0.010400495193767876,0.0012735328168318083
Can,04,1,A,Red,1,0.00014395182997285291,4.842539777457768,0.0024259939127624247,0.002428285156574734,0.0491639489926415,0.015958216394036526,17.586181848658757,0.01717863561626115,5.9373385989847085,0.0053542365286220325,0.0036930216368045964,0.1385113657387966,0.006903162065842868,0.03149387189169522,0.00384376226810325,0.08757341092856244,0.00318075436983889,0.002302230583089144
Can,04,1,A,Red,2,0.0002116181015846424,6.737707118790608,0.00225216208915663,0.00280437113054265,0.05800068078245037,0.014460143319095488,19.66339659810977,0.019874805059306475,6.35639760521905,0.006209553568074581,0.00456194432283561,0.07341953754633909,0.007652516812196499,0.03490623157500795,0.0025895725616956558,0.030191345553371746,0.007314221076943974,0.0021031656385842004
Can,04,1,A,Red,3,0.00047103370558703795,7.2815278635776135,0.0026717032524337793,0.0036124600628425637,0.08285934487408758,0.01629997836664777,19.310116223978483,0.018083499802765926,6.361488275537511,0.005421943890808977,0.011003703980997214,0.07192424143867927,0.008312993938134913,0.03560232458255735,0.003841227313523233,0.05773653685521852,0.0073714648816950125,0.002695906607312002
Can,04,1,A,Red,4,0.0004636569489099393,6.326290844250397,0.002842953904113228,0.0035632324849491806,0.08204030716516707,0.016723374709020095,20.53854764462936,0.01957525394643973,6.609610161066613,0.005339795547873372,0.025648222435997358,0.08644167205483594,0.008751857227193224,0.035408596073901115,0.004362134350884648,0.14054346261963271,0.010964266284373438,0.0032000359779173785
Can,04,2,A,Red,1,0.0001598094012372815,7.103883998676097,0.0021601826032409213,0.002954871060397381,0.04623063697164334,0.01411107699211193,21.969055637332012,0.01982306096419733,7.348731153596962,0.006511752950177133,0.00339849160373271,0.09607078481025964,0.006373189527709781,0.032838889751983395,0.006993717820075453,0.04971925739140331,0.004855153146461048,0.004426844613253488
Can,04,2,A,Red,2,0.0001898909461109148,6.398440188095217,0.002382851115827184,0.003102955597057961,0.0453907954260773,0.017006700351913748,23.24172720155183,0.020497875463349816,7.735869204059503,0.007148075398262193,0.0034817985305020042,0.08404979705736304,0.007201330442764745,0.03624586176143668,0.0059732691168838505,0.04038643523843382,0.005491243930157545,0.003355985308701646
Can,04,2,A,Red,3,0.00032139690991441996,7.660221151828621,0.0027144111530347154,0.00407427995758383,0.05859092095486211,0.017167261872031724,23.51483942571133,0.02172741174674032,8.136992387362215,0.006702286992417434,0.0036702485109204514,0.0695927665022523,0.006436557209711868,0.03870746403463465,0.005246248583434034,0.0322295359095,0.002978038386826791,0.0031622049887118425
Can,04,2,A,Red,4,0.00018216653703670652,7.228516862481149,0.0028772528595903692,0.0032564018488275177,0.056076483359884,0.016490041290709797,25.239380195420853,0.023948337574670363,8.55411056103318,0.00748369097257068,0.0033162222255429153,0.05873494271121201,0.0068618757432748366,0.039258525240035785,0.005132047691563757,0.028757566136066788,0.003516059689079987,0.003027936369655302
Can,05,1,A,Black,1,5.912562996626553e-05,0.06391536103180018,0.0014387419123492056,0.0007746268027422181,0.02202844128920205,0.001252933411964738,4.579595360577257,0.002585179984973828,0.21109460777940173,0.003559909307663852,0.014642255145763837,0.09794103680283849,0.001387612815638922,0.0014008843053011728,0.002602232255557451,0.18553173734202158,0.02594690311921867,0.004549848468118027
