Polymer,Source,Day2,Batch,Color,N,Na23,Mg25,Al27,Si29,K39,Ca44,Ti47,Mn55,Fe57,Ni60,Cu63,As75,Sr88,Nb93,Sn118,Sb121,Ba138,Pb208
Tape,75,1,A,Black,3,150566.98522242,120650.565063659,37522.1394703185,11501.5397184329,178475.011311364,13933414.3756167,882.313325669652,34190.816188354,16329.7827064097,512.608252589733,1293.64229083148,1163.61518425944,407693.338263335,75.2697634553809,1124.95160473249,275625.910866014,45697320.7121235,1130.17061471551
Tape,75,1,A,Black,4,148252.510513512,138300.423087199,40083.9945459792,13118.4558327783,211621.234320467,13430656.6011438,1286.20272785733,32023.1530842772,16196.9333869572,528.275304812608,1329.1308889056,1255.22584496414,399072.501599077,107.750318255204,1249.990461926,198902.463603494,45629428.5799487,1159.40150873874
Tape,75,2,A,Black,1,148697.228524657,137138.689763834,30152.0930244618,18066.6846004538,208503.062267414,13636088.5645911,1045.19007337433,31961.5052104147,21290.3364095983,568.833570442498,1241.37060487359,1603.16673781569,396494.094389159,31.6492430889001,4194.80804118721,198116.301015985,50686643.3450199,1126.82516460157
Tape,75,2,A,Black,2,162110.38799855,137393.717979875,45266.3955033726,14757.7120129521,247304.110737456,13545817.8117349,1222.47634228476,31129.7226804641,21350.0195986528,676.412075375096,1519.00509438576,1851.31164109558,412473.547225001,56.5192927466592,3665.59683105675,216533.097525572,53091806.0050378,1293.03066852159
Tape,75,2,A,Black,3,172111.181938531,135440.771228958,36440.7991159321,14744.1813900193,287290.995666394,13543523.6151982,1115.42813996079,32946.5345219813,21537.5471814057,477.432086411093,1377.97000177427,1811.60295666305,424776.717716555,45.7576332416073,3074.2512738695,176662.504481612,54009412.278971,1240.84276322663
Tape,75,2,A,Black,4,172362.628402257,138373.196035869,41006.2145639131,17032.7655507746,254738.531118303,14403351.6811484,1147.7610622303,39312.3020709374,23070.4272017484,512.216517160724,1508.70301916767,1644.94945176964,425339.757213092,20.4302838725333,3623.15373253868,187716.692927781,53652379.2792905,1108.26579744019
Tape,76,1,A,Black,1,1799794.94582487,1868405.98568549,2699720.98736591,143313.202096735,2074660.15689613,38968008.4761511,37265.446388665,145548.127828022,105071.400487086,1836.3481194281,24288.0986072516,8205.78511294453,5235498.17020633,2339.07709884418,16620.4722870971,171461736.601923,60432192.6303774,104724.950060562
Tape,76,1,A,Black,2,903289.499314158,1881562.18188215,3151147.84191318,111567.882709661,2660400.45920207,40065563.6602452,49951.0664363384,156738.599567352,108268.46014591,1614.14282634441,23186.2737130976,7354.16743002153,5159596.18434849,1072.91069709039,16124.4184211951,166653746.184652,59614043.3976421,93630.8950576214
Tape,76,1,A,Black,3,964574.582020564,1825329.17867518,2672626.55658227,87496.7208967086,1955286.73373163,39113865.0530594,53629.8183378358,130300.10257782,101647.454518433,1525.36285694013,23920.8246885451,7181.53396819395,5342147.12601267,1008.84359895093,16362.0524216705,173598360.131404,61947226.2748417,98988.276844811
Tape,76,1,A,Black,4,878725.672369003,1803241.30188375,2814204.12688244,92623.5208996284,2038033.47680695,39403980.2268247,42843.5654126626,130921.391101907,99523.2185614174,1431.2777145849,22301.4985599025,7307.21295751219,4947533.29141045,739.510425158327,15552.5073181525,168674518.064557,58469108.9863417,99443.6894025045
